error_mean error_std nr_incoherent_ffl nr_neg_feed
1.461999999999999922e+01 1.074988372030134975e+00 1.470000000000000000e+02 7.200000000000000000e+01
1.438000000000000078e+01 1.309809146402635349e+00 1.380000000000000000e+02 8.700000000000000000e+01
1.482000000000000028e+01 1.275774274705364864e+00 1.010000000000000000e+02 7.900000000000000000e+01
1.472000000000000064e+01 1.697527613913835554e+00 1.410000000000000000e+02 7.700000000000000000e+01
1.501999999999999957e+01 1.392695228684294628e+00 1.430000000000000000e+02 8.300000000000000000e+01
1.467999999999999972e+01 1.434433686163288479e+00 1.230000000000000000e+02 7.300000000000000000e+01
1.474000000000000021e+01 1.145600279329574978e+00 1.390000000000000000e+02 5.400000000000000000e+01
1.393999999999999950e+01 9.881295461628502030e-01 1.180000000000000000e+02 7.100000000000000000e+01
1.398000000000000043e+01 1.288254633215033307e+00 1.230000000000000000e+02 8.000000000000000000e+01
1.419999999999999929e+01 1.248999599679679662e+00 1.400000000000000000e+02 8.200000000000000000e+01
1.398000000000000043e+01 1.363671514698462817e+00 1.000000000000000000e+02 5.300000000000000000e+01
1.464000000000000057e+01 1.292439553712281031e+00 1.330000000000000000e+02 8.600000000000000000e+01
1.475999999999999979e+01 1.209297316626477992e+00 1.360000000000000000e+02 8.500000000000000000e+01
1.469999999999999929e+01 1.539480431834065133e+00 1.240000000000000000e+02 6.900000000000000000e+01
1.511999999999999922e+01 1.365869686317110032e+00 1.220000000000000000e+02 7.000000000000000000e+01
1.456000000000000050e+01 1.202663710269832764e+00 1.290000000000000000e+02 7.700000000000000000e+01
1.469999999999999929e+01 1.187434208703791683e+00 1.450000000000000000e+02 8.300000000000000000e+01
1.472000000000000064e+01 1.281249390243757391e+00 1.410000000000000000e+02 8.300000000000000000e+01
1.450000000000000000e+01 1.268857754044952157e+00 9.800000000000000000e+01 7.700000000000000000e+01
1.432000000000000028e+01 1.318180564262726451e+00 1.300000000000000000e+02 8.200000000000000000e+01
1.491999999999999993e+01 1.128538878373270826e+00 1.370000000000000000e+02 7.400000000000000000e+01
1.446000000000000085e+01 1.080925529349732850e+00 1.430000000000000000e+02 8.800000000000000000e+01
1.456000000000000050e+01 1.313925416452547568e+00 1.230000000000000000e+02 6.600000000000000000e+01
1.396000000000000085e+01 1.165504182746677220e+00 1.310000000000000000e+02 7.400000000000000000e+01
1.485999999999999943e+01 1.496796579365412549e+00 1.390000000000000000e+02 8.800000000000000000e+01
1.469999999999999929e+01 1.220655561573370296e+00 1.390000000000000000e+02 8.700000000000000000e+01
1.472000000000000064e+01 1.414779134706191543e+00 1.330000000000000000e+02 8.300000000000000000e+01
1.503999999999999915e+01 1.182539639927558506e+00 1.170000000000000000e+02 7.700000000000000000e+01
1.482000000000000028e+01 1.409822683886168493e+00 1.170000000000000000e+02 7.500000000000000000e+01
1.501999999999999957e+01 1.224581561187330747e+00 1.330000000000000000e+02 8.700000000000000000e+01
1.488000000000000078e+01 1.423235749972575626e+00 1.320000000000000000e+02 8.800000000000000000e+01
1.443999999999999950e+01 1.235475616918440211e+00 1.320000000000000000e+02 8.600000000000000000e+01
1.375999999999999979e+01 1.192644121270046043e+00 1.000000000000000000e+02 5.700000000000000000e+01
1.453999999999999915e+01 1.388668426947196055e+00 1.350000000000000000e+02 8.400000000000000000e+01
1.467999999999999972e+01 1.318180564262726451e+00 1.360000000000000000e+02 8.800000000000000000e+01
1.448000000000000043e+01 1.203993355463392811e+00 1.180000000000000000e+02 8.100000000000000000e+01
1.453999999999999915e+01 1.268227108999015140e+00 1.340000000000000000e+02 8.300000000000000000e+01
1.448000000000000043e+01 1.117855088998569668e+00 1.400000000000000000e+02 5.500000000000000000e+01
1.482000000000000028e+01 1.321968229572859199e+00 1.200000000000000000e+02 7.500000000000000000e+01
1.408000000000000007e+01 1.440000000000000169e+00 1.120000000000000000e+02 6.500000000000000000e+01
1.474000000000000021e+01 1.091970695577495709e+00 1.050000000000000000e+02 7.600000000000000000e+01
1.508000000000000007e+01 1.453822547630899686e+00 1.410000000000000000e+02 8.700000000000000000e+01
1.401999999999999957e+01 1.392695228684294628e+00 1.380000000000000000e+02 6.400000000000000000e+01
1.409999999999999964e+01 1.252996408614166723e+00 1.230000000000000000e+02 7.800000000000000000e+01
1.440000000000000036e+01 1.148912529307605457e+00 1.290000000000000000e+02 8.200000000000000000e+01
1.458000000000000007e+01 1.167732846159600157e+00 1.320000000000000000e+02 8.600000000000000000e+01
1.430000000000000071e+01 1.024695076595959931e+00 1.370000000000000000e+02 8.600000000000000000e+01
1.482000000000000028e+01 1.259999999999999787e+00 1.260000000000000000e+02 8.200000000000000000e+01
1.474000000000000021e+01 1.016070863670442970e+00 1.280000000000000000e+02 6.200000000000000000e+01
1.456000000000000050e+01 1.202663710269832764e+00 1.280000000000000000e+02 8.700000000000000000e+01
1.451999999999999957e+01 1.374627222195166532e+00 1.090000000000000000e+02 7.500000000000000000e+01
1.508000000000000007e+01 1.163443165779918909e+00 1.380000000000000000e+02 8.000000000000000000e+01
1.391999999999999993e+01 1.074057726567804183e+00 1.240000000000000000e+02 7.800000000000000000e+01
1.459999999999999964e+01 9.165151389911678770e-01 1.180000000000000000e+02 8.400000000000000000e+01
1.443999999999999950e+01 1.151694403911037501e+00 1.250000000000000000e+02 8.800000000000000000e+01
