error_mean error_std
3.656434981060123768e-01 3.340677690496490077e-02
3.567261432660941978e-01 1.711620123281266947e-02
3.597887741019768493e-01 3.956975507840750084e-02
3.566260820774478368e-01 2.618604346884868816e-02
3.610567441402368627e-01 2.624846831214538989e-02
3.504556484907547786e-01 1.920012947060223407e-02
3.543530220277924525e-01 2.654762210025475230e-02
3.507381910656775514e-01 1.864171903227146085e-02
3.719790211058197626e-01 2.974281243579908127e-02
3.623939441747988099e-01 2.799148463209511634e-02
3.547257877646557422e-01 2.322371927496323651e-02
3.566444944235304115e-01 2.715912608732146127e-02
3.525733121629071043e-01 1.758717127581021361e-02
3.704467471366793552e-01 2.893552727663554341e-02
3.646425311872937280e-01 3.111428042884921072e-02
3.577755963483413848e-01 2.347232753532297808e-02
3.500191802059681723e-01 3.080746063410923219e-02
3.624931043079233639e-01 2.531941810360683817e-02
3.673747674118892359e-01 3.805838418198186079e-02
3.619221827620486831e-01 3.990000252775705719e-02
3.573754675332826980e-01 2.629746355224028484e-02
3.687179113980901812e-01 2.820397614685095367e-02
3.530520266802749663e-01 2.034055302722560452e-02
3.484691684518672061e-01 2.080305514327864674e-02
3.567178829525735617e-01 2.575876848582876050e-02
3.611554624418317205e-01 2.530718286196454586e-02
3.555235273001143281e-01 2.673397096202066378e-02
3.595355564353863720e-01 2.134119815305127524e-02
3.603059313720713974e-01 3.732778894240779827e-02
3.712961750462120403e-01 2.406796782114403385e-02
3.541955702636934156e-01 1.932953905329981223e-02
3.629524158079456830e-01 2.649703796846437573e-02
3.526409725720820454e-01 2.354093178295340802e-02
3.603888716431480899e-01 2.073722349466020770e-02
3.673273052157137730e-01 2.465777185140704750e-02
3.630159261672992743e-01 2.534403152531817388e-02
3.572077188427516536e-01 1.840904437883524730e-02
3.623474786126900660e-01 2.578472286158287052e-02
3.550903650352297269e-01 2.416306563633766058e-02
3.501513856162293270e-01 1.766062729066583334e-02
3.683403683536266016e-01 3.016569740120817605e-02
3.564432499749352057e-01 2.369113522587155615e-02
3.605045039250191485e-01 3.910756041996320959e-02
